0x00000000,global_tags
0x00000092,shaders\shader_options\illum_simple_four_change_color
0x00000093,shaders\shader_options\parallax_simple
0x00000094,shaders\default_bitmaps\bitmaps\gray_50_percent_linear
0x00000095,shaders\shader_options\parallax_detail
0x00000096,shaders\shader_options\sfx_distort
0x00000097,shaders\shader_shared_pixel_shaders
0x00000098,shaders\shader_shared_vertex_shaders
0x00000099,ms23\objects\weapons\rifle\plasma_rifle\bitmaps\plasma_current_noise_a
0x0000009A,shaders\default_bitmaps\bitmaps\clouds_256
0x0000009B,shaders\shader_templates\_2_0_0_0_0_0_3_1_0_1_0_0
0x0000009C,shaders\shader_templates\_2_0_0_0_0_0_3_1_0_1_0
0x0000009D,shaders\shader_templates\_2_0_0_0_0_0_3_1_0_1_0
0x0000009E,objects\weapons\pistol\plasma_pistol\shaders\plasma_pistol_gak
0x0000009F,objects\weapons\pistol\plasma_pistol\bitmaps\plasma_pistol_gak
0x000000A0,shaders\shader_templates\_0_0_0_0_0_0_1_1_0_1_0_0
0x000000A1,shaders\shader_templates\_0_0_0_0_0_0_1_1_0_1_0
0x000000A2,shaders\shader_templates\_0_0_0_0_0_0_1_1_0_1_0
0x000000A3,ms23\objects\weapons\pistol\plasma_pistol\shaders\plasma_pistol_display
0x000000A4,ms23\objects\weapons\pistol\plasma_pistol\bitmaps\plasma_pistol_display
0x000000A5,shaders\shader_templates\_2_0_0_0_4_0_6_1_0_1_0_0
0x000000A6,shaders\shader_templates\_2_0_0_0_4_0_6_1_0_1_0
0x000000A7,shaders\shader_templates\_2_0_0_0_4_0_6_1_0_1_0
0x000000A8,ms23\objects\weapons\pistol\plasma_pistol\shaders\plasma_pistol_dull
0x000000A9,ms23\objects\weapons\pistol\plasma_pistol\bitmaps\plasma_pistol
0x000000AA,objects\weapons\pistol\plasma_pistol\bitmaps\plasma_pistol_bump_2
0x000000AB,objects\weapons\pistol\plasma_pistol\bitmaps\plasma_pistol_cube_2
0x000000AC,shaders\shader_templates\_0_1_0_2_1_4_0_1_0_1_0_0
0x000000AD,shaders\shader_templates\_0_1_0_2_1_4_0_1_0_1_0
0x000000AE,shaders\shader_templates\_0_1_0_2_1_4_0_1_0_1_0
0x000000AF,ms23\objects\weapons\pistol\plasma_pistol\shaders\plasma_pistol_main
0x000000B0,ms23\objects\weapons\pistol\plasma_pistol\bitmaps\plasma_pistol_bump
0x000000B1,ms23\objects\weapons\pistol\plasma_pistol\bitmaps\plasma_pistol_illum
0x000000B2,objects\weapons\rifle\covenant_carbine\covenant_carbine_rof\bitmaps\covenant_carbine_cube
0x000000B3,objects\weapons\pistol\plasma_pistol\bitmaps\plasma_pistol_control
0x000000B4,shaders\shader_templates\_0_1_0_2_1_4_1_0_0_1_0_0
0x000000B5,shaders\shader_templates\_0_1_0_2_1_4_1_0_0_1_0
0x000000B6,shaders\shader_templates\_0_1_0_2_1_4_1_0_0_1_0
0x000000B7,objects\weapons\pistol\plasma_pistol\shaders\plasma_pistol
0x000000B8,objects\weapons\pistol\plasma_pistol\plasma_pistol_damage\bitmaps\plasma_pistol_cube
0x000000B9,shaders\shader_templates\_11_1_0_2_1_4_0_0_0_1_0_0
0x000000BA,shaders\shader_templates\_11_1_0_2_1_4_0_0_0_1_0
0x000000BB,shaders\shader_templates\_11_1_0_2_1_4_0_0_0_1_0
0x000000BC,ms23\objects\weapons\pistol\plasma_pistol\shaders\plasma_pistol_metal
0x000000BD,objects\weapons\pistol\plasma_pistol\bitmaps\plasma_pistol_cube
0x000000BE,objects\weapons\pistol\plasma_pistol\bitmaps\plasma_pistol_detail_spec
0x000000BF,objects\weapons\pistol\plasma_pistol\shaders\plasma_pistol_bolt
0x000000C0,objects\weapons\pistol\plasma_pistol\bitmaps\plasma_pistol_bolt
0x000000C1,objects\weapons\pistol\plasma_pistol\bitmaps\plasma_pistol_bolt_left_bump
0x000000C2,objects\weapons\pistol\plasma_pistol\bitmaps\plasma_pistol_bolt_height
0x000000C3,shaders\shader_templates\_0_1_0_0_1_2_0_0_1_0_0_0
0x000000C4,shaders\shader_templates\_0_1_0_0_1_2_0_0_1_0_0
0x000000C5,shaders\shader_templates\_0_1_0_0_1_2_0_0_1_0_0
0x000000C6,objects\weapons\pistol\plasma_pistol\shaders\plasma_pistol_bolt_left
0x000000C7,objects\weapons\pistol\plasma_pistol\shaders\plasma_pistol_bolt_right
0x000000C8,objects\weapons\pistol\plasma_pistol\bitmaps\plasma_pistol_bolt_right_bump
0x000000C9,shaders\shader_templates\_0_1_0_0_1_2_0_1_0_0_0_0
0x000000CA,shaders\shader_templates\_0_1_0_0_1_2_0_1_0_0_0
0x000000CB,shaders\shader_templates\_0_1_0_0_1_2_0_1_0_0_0
0x000000CC,objects\weapons\pistol\plasma_pistol\plasma_pistol
0x000000CD,objects\weapons\pistol\plasma_pistol\plasma_pistol
0x000000CE,objects\weapons\lod\lod_plasma_pistol\lod_plasma_pistol
0x000000CF,objects\weapons\lod\shaders\lod_plasma_pistol
0x000000D0,objects\weapons\lod\bitmaps\plasma_pistol
0x000000D1,shaders\shader_templates\_0_0_1_0_0_0_0_0_0_0_0_0
0x000000D2,shaders\shader_templates\_0_0_1_0_0_0_0_0_0_0_0
0x000000D3,shaders\shader_templates\_0_0_1_0_0_0_0_0_0_0_0
0x000000D4,fx\material_effects\objects\weapons\plasma_pistol
0x000000D5,sound\weapons\plasma_pistol\plasma_pistol_drop
0x000000D6,sound\weapons\plasma_pistol\plasma_pistol_drop_soft
0x000000D7,fx\material_effects\objects\havok\contact\collision\collision_water_tiny
0x000000D8,fx\water\explosion_tiny
0x000000D9,fx\particles\material\water\impact_spray_large_water
0x000000DA,fx\particles\material\_bitmaps\fluid_spray_large
0x000000DB,shaders\particle_templates\_0_3_0_0_0_0_1_1_0_1
0x000000DC,shaders\particle_templates\_0_3_0_0_0_0_1_1_0_1
0x000000DD,shaders\particle_templates\_0_3_0_0_0_0_1_1_0_1
0x000000DE,effects\particle_physics\default
0x000000DF,fx\particles\material\water\impact_spray_xtralrg_water
0x000000E0,fx\particles\material\_bitmaps\impact_xtra_large
0x000000E1,shaders\particle_templates\_3_3_0_0_0_1_1_1_0_1
0x000000E2,shaders\particle_templates\_3_3_0_0_0_1_1_1_0_1
0x000000E3,shaders\particle_templates\_3_3_0_0_0_1_1_1_0_1
0x000000E4,fx\particles\material\water\mist_water_small_impact
0x000000E5,shaders\particle_templates\_1_3_0_0_0_0_1_1_0_1
0x000000E6,shaders\particle_templates\_1_3_0_0_0_0_1_1_0_1
0x000000E7,shaders\particle_templates\_1_3_0_0_0_0_1_1_0_1
0x000000E8,sound\weapons\impacts_riccs\plasma_impacts_h3_up
0x000000E9,sound\materials\soft\cardboard\cardboard_hits_med_actee
0x000000EA,sound\weapons\impacts_riccs\bullet_impact_water
0x000000EB,fx\material_effects\objects\weapons\impact\impact_plasma_medium\default
0x000000EC,fx\decals\impact_plasma\impact_plasma_medium\hard
0x000000ED,shaders\decal
0x000000EE,shaders\decal_options\global_decal_options
0x000000EF,shaders\decal_options\albedo_diffuse_only
0x000000F0,shaders\decal_options\albedo_palettized
0x000000F1,shaders\decal_options\albedo_palettized_plus_alpha
0x000000F2,shaders\decal_options\albedo_diffuse_plus_alpha
0x000000F3,shaders\decal_options\albedo_emblem_change_color
0x000000F4,shaders\decal_options\albedo_change_color
0x000000F5,shaders\decal_options\albedo_diffuse_plus_alpha_mask
0x000000F6,shaders\decal_options\albedo_palettized_plus_alpha_mask
0x000000F7,shaders\decal_options\albedo_vector_alpha
0x000000F8,shaders\decal_options\albedo_vector_alpha_drop_shadow
0x000000F9,shaders\decal_options\specular_modulate
0x000000FA,shaders\decal_options\bump_mapping_standard
0x000000FB,shaders\decal_options\bump_mapping_standard_mask
0x000000FC,shaders\decal_options\tinting_unmodulated
0x000000FD,shaders\decal_options\tinting_partially_modulated
0x000000FE,shaders\decal_options\tinting_fully_modulated
0x000000FF,shaders\decal_shared_pixel_shaders
0x00000100,shaders\decal_shared_vertex_shaders
0x00000101,shaders\decal_templates\_0_4_0_1_0_0
0x00000102,shaders\decal_templates\_0_4_0_1_0_0
0x00000103,shaders\decal_templates\_0_4_0_1_0_0
0x00000104,fx\decals\impact_bullet\_bitmaps\impact_hard_terrain_medium
0x00000105,fx\particles\energy\sparks\impact_spark_orange
0x00000106,fx\physics_templates\impact_sparks
0x00000107,fx\particles\material\default\soft_smoke_small_impact_default
0x00000108,fx\particles\atmospheric\_bitmaps\soft_smoke_small
0x00000109,fx\particles\_gradients\grayscale_mid
0x0000010A,fx\physics_templates\impact_smoke
0x0000010B,fx\particles\material\default\impact_burst_medium_default
0x0000010C,fx\particles\material\_bitmaps\impact_burst_medium
0x0000010D,objects\weapons\pistol\plasma_pistol\fx\impact
0x0000010E,objects\weapons\pistol\plasma_pistol\fx\impact
0x0000010F,shaders\decal_templates\_0_1_1_0_0_2
0x00000110,shaders\decal_templates\_0_1_1_0_0_2
0x00000111,shaders\decal_templates\_0_1_1_0_0_2
0x00000112,fx\decals\_bitmaps\plasma_impact_small
0x00000113,shaders\decal_templates\_0_1_1_0_0_1
0x00000114,shaders\decal_templates\_0_1_1_0_0_1
0x00000115,shaders\decal_templates\_0_1_1_0_0_1
0x00000116,fx\decals\_bitmaps\plasma_glow_small
0x00000117,fx\particles\energy\plasma_impact_spark
0x00000118,fx\particles\energy\_bitmaps\spark_hot
0x00000119,shaders\particle_templates\_0_8_0_0_0_0_0_0_1_0
0x0000011A,shaders\particle_templates\_0_8_0_0_0_0_0_0_1_0
0x0000011B,shaders\particle_templates\_0_8_0_0_0_0_0_0_1_0
0x0000011C,fx\particles\energy\electric_arcs_green
0x0000011D,fx\particles\energy\_bitmaps\electric_arcs
0x0000011E,fx\particles\_gradients\electric_arcs_green
0x0000011F,shaders\particle_templates\_5_8_0_0_0_0_1_0_0_0
0x00000120,shaders\particle_templates\_5_8_0_0_0_0_1_0_0_0
0x00000121,shaders\particle_templates\_5_8_0_0_0_0_1_0_0_0
0x00000122,fx\particles\energy\plasma_impact
0x00000123,fx\particles\energy\_bitmaps\plasma_impact
0x00000124,shaders\particle_templates\_5_8_0_0_0_1_1_0_0_0
0x00000125,shaders\particle_templates\_5_8_0_0_0_1_1_0_0_0
0x00000126,shaders\particle_templates\_5_8_0_0_0_1_1_0_0_0
0x00000127,fx\particles\energy\plasma_impact_long
0x00000128,fx\particles\energy\_bitmaps\plasma_impact_long
0x00000129,fx\particles\atmospheric\wispy_smoke\wispy_smoke_small_additive
0x0000012A,fx\particles\atmospheric\_bitmaps\wispy_smoke_small
0x0000012B,shaders\particle_templates\_4_8_0_0_0_1_1_0_0_0
0x0000012C,shaders\particle_templates\_4_8_0_0_0_1_1_0_0_0
0x0000012D,shaders\particle_templates\_4_8_0_0_0_1_1_0_0_0
0x0000012E,fx\particles\energy\plasma_ring
0x0000012F,fx\particles\energy\_bitmaps\plasma_ring
0x00000130,fx\material_effects\objects\weapons\impact\impact_plasma_medium\brittle
0x00000131,fx\decals\impact_plasma\impact_plasma_medium\brittle
0x00000132,fx\decals\impact_bullet\_bitmaps\impact_brittle_medium
0x00000133,fx\particles\material\default\impact_burst_small_default
0x00000134,fx\particles\material\_bitmaps\impact_burst_small
0x00000135,shaders\particle_templates\_3_3_0_0_0_0_1_1_0_1
0x00000136,shaders\particle_templates\_3_3_0_0_0_0_1_1_0_1
0x00000137,shaders\particle_templates\_3_3_0_0_0_0_1_1_0_1
0x00000138,fx\particles\material\default\dirt_clumps_impact
0x00000139,sound\materials\particles\rocks\rocks_small
0x0000013A,fx\particles\material\_bitmaps\dirt_clumps
0x0000013B,shaders\particle_templates\_0_3_0_0_0_0_0_1_0_1
0x0000013C,shaders\particle_templates\_0_3_0_0_0_0_0_1_0_1
0x0000013D,shaders\particle_templates\_0_3_0_0_0_0_0_1_0_1
0x0000013E,fx\particles\material\default\impact_chunks_medium_default
0x0000013F,fx\particles\material\_bitmaps\impact_chunks_medium
0x00000140,fx\material_effects\objects\weapons\impact\impact_plasma_medium\brittle_elec
0x00000141,fx\particles\material\metal\metal_chips_hot
0x00000142,fx\particles\material\_bitmaps\metal_chips
0x00000143,fx\particles\material\metal\spark_ember
0x00000144,fx\particles\energy\_bitmaps\spark_ember
0x00000145,fx\particles\energy\electric_arcs
0x00000146,fx\particles\_gradients\electric_arcs_blue
0x00000147,fx\material_effects\objects\weapons\impact\impact_plasma_medium\brittle_elec_cov
0x00000148,fx\particles\material\metal\spark_ember_cov
0x00000149,shaders\particle_templates\_0_1_0_0_0_0_0_0_0_0
0x0000014A,shaders\particle_templates\_0_1_0_0_0_0_0_0_0_0
0x0000014B,shaders\particle_templates\_0_1_0_0_0_0_0_0_0_0
0x0000014C,fx\particles\atmospheric\rolling_smoke\fireball_plasma_small
0x0000014D,fx\particles\atmospheric\_bitmaps\rolling_smoke_plate
0x0000014E,fx\particles\_gradients\explosion_plasma_animated
0x0000014F,shaders\particle_templates\_3_8_0_0_0_1_1_0_1_0
0x00000150,shaders\particle_templates\_3_8_0_0_0_1_1_0_1_0
0x00000151,shaders\particle_templates\_3_8_0_0_0_1_1_0_1_0
0x00000152,fx\material_effects\objects\weapons\impact\impact_plasma_medium\brittle_explosive
0x00000153,fx\particles\atmospheric\rolling_smoke\fireball_human_small
0x00000154,fx\particles\_gradients\explosion_animated
0x00000155,fx\material_effects\objects\weapons\impact\impact_plasma_medium\brittle_glass
0x00000156,fx\particles\material\glass\impact_chunks_small_glass
0x00000157,fx\particles\material\_bitmaps\impact_chunks_small
0x00000158,fx\particles\energy\sparks\impact_spark_bluewhite
0x00000159,fx\particles\material\glass\glass_chips
0x0000015A,sound\materials\particles\shrapnel
0x0000015B,fx\particles\material\_bitmaps\glass_chips
0x0000015C,shaders\particle_templates\_0_3_0_0_1_0_0_0_0_1
0x0000015D,shaders\particle_templates\_0_3_0_0_1_0_0_0_0_1
0x0000015E,shaders\particle_templates\_0_3_0_0_1_0_0_0_0_1
0x0000015F,fx\particles\material\glass\impact_burst_spray_glass
0x00000160,fx\particles\material\_bitmaps\burst_spray
0x00000161,fx\material_effects\objects\weapons\impact\impact_plasma_medium\brittle_glass_for_unbreakable
0x00000162,fx\material_effects\objects\weapons\impact\impact_plasma_medium\brittle_glass_thick
0x00000163,fx\particles\material\default\impact_chunks_small_default
0x00000164,fx\material_effects\objects\weapons\impact\impact_plasma_medium\brittle_mech
0x00000165,fx\material_effects\objects\weapons\impact\impact_plasma_medium\brittle_mech_cov
0x00000166,fx\material_effects\objects\weapons\impact\impact_plasma_medium\energy
0x00000167,fx\particles\distortion\distortion_ring_perpendicular
0x00000168,fx\particles\distortion\_bitmaps\distortion_ring
0x00000169,shaders\particle_templates\_0_8_1_0_0_1_1_0_0_0
0x0000016A,shaders\particle_templates\_0_8_1_0_0_1_1_0_0_0
0x0000016B,shaders\particle_templates\_0_8_1_0_0_1_1_0_0_0
0x0000016C,fx\particles\energy\plasma_noise
0x0000016D,fx\particles\energy\_bitmaps\plasma_noise
0x0000016E,fx\particles\_gradients\plasma_blue_01
0x0000016F,shaders\particle_templates\_3_8_0_0_0_1_1_0_0_0
0x00000170,shaders\particle_templates\_3_8_0_0_0_1_1_0_0_0
0x00000171,shaders\particle_templates\_3_8_0_0_0_1_1_0_0_0
0x00000172,fx\particles\flare\explosive_flash_small
0x00000173,fx\material_effects\objects\weapons\impact\impact_plasma_medium\energy_holo
0x00000174,fx\particles\distortion\distortion_ring
0x00000175,fx\particles\energy\spark_fiery
0x00000176,fx\particles\energy\_bitmaps\spark_fiery
0x00000177,fx\particles\energy\spark_burst_medium
0x00000178,fx\particles\energy\_bitmaps\spark_burst_medium
0x00000179,fx\material_effects\objects\weapons\impact\impact_plasma_medium\energy_shield_thick
0x0000017A,fx\particles\energy\plasma_ring_perpendicular
0x0000017B,fx\particles\energy\electric_arcs_gold
0x0000017C,fx\particles\_gradients\electric_arcs_gold
0x0000017D,fx\particles\energy\plasma_noise_yellow
0x0000017E,fx\particles\_gradients\energy_pulse_gold
0x0000017F,fx\material_effects\objects\weapons\impact\impact_plasma_medium\energy_shield_thick_cov
0x00000180,fx\material_effects\objects\weapons\impact\impact_plasma_medium\energy_shield_thin
0x00000181,fx\particles\energy\spark_burst_large
0x00000182,fx\particles\energy\_bitmaps\spark_burst_large
0x00000183,shaders\particle_templates\_0_8_0_0_0_0_1_0_0_0
0x00000184,shaders\particle_templates\_0_8_0_0_0_0_1_0_0_0
0x00000185,shaders\particle_templates\_0_8_0_0_0_0_1_0_0_0
0x00000186,fx\material_effects\objects\weapons\impact\impact_plasma_medium\energy_shield_thin_cov
0x00000187,fx\particles\flare\flash_soft_zfade
0x00000188,fx\material_effects\objects\weapons\impact\impact_plasma_medium\hard
0x00000189,fx\particles\models\debris\concrete_chunks_small\concrete_chunks_small_impact
0x0000018A,fx\material_effects\objects\particles\rocks_small
0x0000018B,sound\materials\particles\snow_particles_small
0x0000018C,sound\materials\particles\rocks\rocks_small_water
0x0000018D,fx\particles\models\debris\concrete_chunks_small\_bitmaps\concrete_chunks_small
0x0000018E,fx\particles\models\debris\concrete_chunks_small\concrete_chunks_small
0x0000018F,fx\material_effects\objects\weapons\impact\impact_plasma_medium\hard_floodflesh
0x00000190,fx\particles\material\fragments_chitin
0x00000191,fx\particles\material\_bitmaps\fragments_chitin
0x00000192,shaders\particle_templates\_0_3_0_2_0_0_0_1_0_0
0x00000193,shaders\particle_templates\_0_3_0_2_0_0_0_1_0_0
0x00000194,shaders\particle_templates\_0_3_0_2_0_0_0_1_0_0
0x00000195,fx\particles\material\blood\flood_burst_spray
0x00000196,fx\particles\material\blood\flood_fluid_burst
0x00000197,fx\particles\_gradients\fluid_flood
0x00000198,fx\particles\material\blood\flood_mist
0x00000199,fx\material_effects\objects\weapons\impact\impact_plasma_medium\hard_metal_solid
0x0000019A,fx\decals\impact_plasma\impact_plasma_medium\hard_metal
0x0000019B,shaders\decal_templates\_0_3_0_0_1_0
0x0000019C,shaders\decal_templates\_0_3_0_0_1_0
0x0000019D,shaders\decal_templates\_0_3_0_0_1_0
0x0000019E,fx\decals\impact_plasma\_bitmaps\impact_hard_metal_medium
0x0000019F,fx\decals\impact_plasma\_bitmaps\impact_hard_metal_medium_bump
0x000001A0,fx\particles\material\metal\soft_smoke_small_impact_metal
0x000001A1,fx\material_effects\objects\weapons\impact\impact_plasma_medium\hard_metal_thick
0x000001A2,fx\material_effects\objects\weapons\impact\impact_plasma_medium\hard_metal_thin
0x000001A3,fx\material_effects\objects\weapons\impact\impact_plasma_medium\tough_organic_flesh_brute
0x000001A4,fx\particles\material\blood\brute_fluid_spray_medium
0x000001A5,fx\particles\material\_bitmaps\impact_spray_medium
0x000001A6,fx\particles\_gradients\blood_brute
0x000001A7,fx\particles\material\blood\brute_fluid_sheet_large
0x000001A8,fx\particles\material\_bitmaps\fluid_sheet_large
0x000001A9,fx\particles\material\blood\brute_fluid_burst
0x000001AA,fx\particles\material\_bitmaps\fluid_burst_small
0x000001AB,fx\particles\material\blood\brute_mist
0x000001AC,shaders\particle_templates\_1_3_0_0_0_0_1_1_0_0
0x000001AD,shaders\particle_templates\_1_3_0_0_0_0_1_1_0_0
0x000001AE,shaders\particle_templates\_1_3_0_0_0_0_1_1_0_0
0x000001AF,fx\particles\material\blood\brute_clumps
0x000001B0,shaders\particle_templates\_3_10_0_0_0_0_0_1_0_1
0x000001B1,shaders\particle_templates\_3_10_0_0_0_0_0_1_0_1
0x000001B2,shaders\particle_templates\_3_10_0_0_0_0_0_1_0_1
0x000001B3,fx\decals\blood_splats\brute_blood_small
0x000001B4,shaders\decal_templates\_2_2_1_0_0_0
0x000001B5,shaders\decal_templates\_2_2_1_0_0_0
0x000001B6,shaders\decal_templates\_2_2_1_0_0_0
0x000001B7,fx\decals\blood_splats\_bitmaps\decal_blood_thick_medium
0x000001B8,fx\particles\_gradients\bloodsplat_brute
0x000001B9,fx\decals\blood_splats\brute_blood_medium
